,groupID,Date_format,YouWin,TimeDifference,TimeDifference_Bao,Distance,ShakingExtent,InCenter,City_Translated,IsPeak,OffPeak,PopDensity,download_4G,upload_4G
94,16,2019-07-16 23:56:24,1.0,23.0,0.0,6.346866077049063,3.0,0,台南,1,0,857.0,62.18,15.17
95,16,2019-07-16 23:57:17,0.0,76.0,53.0,268.2444809944836,3.0,0,臺北,1,0,9662.94,56.01,16.41
97,17,2019-07-19 00:31:00,1.0,16.0,0.0,212.63741040560095,3.0,0,臺北,1,0,9662.94,56.01,16.41
98,17,2019-07-19 00:37:09,0.0,385.0,369.0,195.91862786371306,3.0,0,桃園,1,0,1848.28,48.78,13.94
100,18,2019-07-26 14:40:29,1.0,33.0,0.0,45.19110602762485,2.0,0,臺北,1,0,9662.94,56.01,16.41
101,18,2019-07-26 14:46:49,0.0,413.0,380.0,45.19110602762485,2.0,0,臺北,1,0,9662.94,56.01,16.41
102,18,2019-07-26 14:46:49,0.0,413.0,380.0,,2.0,0,NaN,1,0,,,
105,19,2019-08-03 06:25:51,1.0,68.0,0.0,149.38218522969834,4.0,0,臺北,0,1,9662.94,56.01,16.41
106,19,2019-08-03 06:25:51,1.0,68.0,0.0,,4.0,0,NaN,0,1,,,
108,20,2019-08-05 11:39:56,1.0,18.0,0.0,221.16544468790724,3.0,0,臺北,0,0,9662.94,56.01,16.41
109,20,2019-08-05 11:40:06,0.0,28.0,10.0,85.31750912913488,3.0,0,彰化,0,0,1182.02,62.6,17.19
111,21,2019-08-06 09:20:36,1.0,48.0,0.0,35.19823325111629,5.0,1,花蓮,0,0,70.32,43.1,13.12
113,22,2019-08-07 01:01:01,1.0,20.0,0.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
114,22,2019-08-07 01:01:11,0.0,30.0,10.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
115,22,2019-08-07 01:01:12,0.0,31.0,11.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
116,22,2019-08-07 01:01:18,0.0,37.0,17.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
117,22,2019-08-07 01:01:19,0.0,38.0,18.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
118,22,2019-08-07 01:01:19,0.0,38.0,18.0,,3.0,0,NaN,1,0,,,
119,22,2019-08-07 01:01:27,0.0,46.0,26.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
120,22,2019-08-07 01:01:38,0.0,57.0,37.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
121,22,2019-08-07 01:01:41,0.0,60.0,40.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
122,22,2019-08-07 01:01:47,0.0,66.0,46.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
123,22,2019-08-07 01:01:47,0.0,66.0,46.0,,3.0,0,NaN,1,0,,,
124,22,2019-08-07 01:01:58,0.0,77.0,57.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
125,22,2019-08-07 01:02:21,0.0,100.0,80.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
126,22,2019-08-07 01:02:59,0.0,138.0,118.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
127,22,2019-08-07 01:03:06,0.0,145.0,125.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
128,22,2019-08-07 01:03:32,0.0,171.0,151.0,264.94988280805126,3.0,0,馬公,1,0,827.83,65.54,16.37
129,22,2019-08-07 01:03:48,0.0,187.0,167.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
130,22,2019-08-07 01:03:48,0.0,187.0,167.0,,3.0,0,NaN,1,0,,,
131,22,2019-08-07 01:04:15,0.0,214.0,194.0,273.1967998879197,3.0,0,台南,1,0,857.0,62.18,15.17
132,22,2019-08-07 01:08:46,0.0,485.0,465.0,2168.1663542265387,3.0,0,"Parsippany-Troy Hills, New Jersey, U.S.A.",1,0,,,
133,22,2019-08-07 01:09:27,0.0,526.0,506.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
134,22,2019-08-07 01:10:06,0.0,565.0,545.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
135,22,2019-08-07 01:10:20,0.0,579.0,559.0,11.366332917876417,3.0,1,臺北,1,0,9662.94,56.01,16.41
144,23,2019-08-08 05:28:28,1.0,25.0,0.0,77.00970123302619,6.0,0,臺北,0,1,9662.94,56.01,16.41
145,23,2019-08-08 05:36:56,0.0,533.0,508.0,77.00970123302619,6.0,0,臺北,0,1,9662.94,56.01,16.41
167,24,2019-08-16 05:42:00,1.0,20.0,0.0,57.96827221851627,4.0,0,彰化,0,1,1182.02,62.6,17.19
168,24,2019-08-16 05:42:27,0.0,47.0,27.0,63.57406228958454,4.0,0,台中,0,1,1271.61,65.02,20.52
169,24,2019-08-16 05:42:42,0.0,62.0,42.0,182.09399919821598,4.0,0,臺北,0,1,9662.94,56.01,16.41
170,24,2019-08-16 05:42:43,0.0,63.0,43.0,29.30952746121996,4.0,0,台中,0,1,1271.61,65.02,20.52
171,24,2019-08-16 05:42:55,0.0,75.0,55.0,63.57406228958454,4.0,0,台中,0,1,1271.61,65.02,20.52
172,24,2019-08-16 05:43:01,0.0,81.0,61.0,182.09399919821598,4.0,0,臺北,0,1,9662.94,56.01,16.41
173,24,2019-08-16 05:43:07,0.0,87.0,67.0,182.09399919821598,4.0,0,臺北,0,1,9662.94,56.01,16.41
174,24,2019-08-16 05:43:18,0.0,98.0,78.0,57.96827221851627,4.0,0,彰化,0,1,1182.02,62.6,17.19
175,24,2019-08-16 05:44:15,0.0,155.0,135.0,63.57406228958454,4.0,0,台中,0,1,1271.61,65.02,20.52
181,25,2019-08-17 22:52:42,1.0,32.0,0.0,97.50487072962078,4.0,0,台中,1,0,1271.61,65.02,20.52
183,26,2019-08-18 12:05:33,1.0,19.0,0.0,97.36011933024812,5.0,0,台中,0,0,1271.61,65.02,20.52
185,27,2019-08-30 14:47:14,1.0,55.0,0.0,47.73690091532984,3.0,0,台南,1,0,857.0,62.18,15.17
187,28,2019-09-13 23:36:27,1.0,22.0,0.0,93.06108504095627,3.0,0,台南,1,0,857.0,62.18,15.17
192,29,2019-09-21 17:38:19,1.0,211.0,0.0,16.374927663962282,3.0,1,苗栗,0,0,299.04,69.03,16.37
196,30,2019-10-01 01:13:32,1.0,34.0,0.0,42.77936273485231,4.0,1,高雄,1,0,939.35,53.25,15.73
197,30,2019-10-01 01:18:38,0.0,340.0,306.0,253.69594510752387,4.0,0,臺北,1,0,9662.94,56.01,16.41
203,32,2019-10-05 22:35:25,1.0,62.0,0.0,81.00030175252428,3.0,0,臺北,1,0,9662.94,56.01,16.41
205,33,2019-10-08 01:17:49,1.0,43.0,0.0,93.8894284996987,3.0,0,臺北,1,0,9662.94,56.01,16.41
206,33,2019-10-08 01:17:49,1.0,43.0,0.0,,3.0,0,NaN,1,0,,,
207,33,2019-10-08 01:23:38,0.0,392.0,349.0,93.8894284996987,3.0,0,臺北,1,0,9662.94,56.01,16.41
213,34,2019-10-17 19:45:29,1.0,56.0,0.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
214,34,2019-10-17 19:45:39,0.0,66.0,10.0,197.8094200588029,3.0,0,彰化,0,1,1182.02,62.6,17.19
215,34,2019-10-17 19:45:43,0.0,70.0,14.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
216,34,2019-10-17 19:45:44,0.0,71.0,15.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
217,34,2019-10-17 19:46:00,0.0,87.0,31.0,176.5033624070653,3.0,0,新竹,0,1,4318.72,51.53,15.0
218,34,2019-10-17 19:46:25,1.0,112.0,0.0,183.86697897121192,3.0,0,台中,0,1,1271.61,65.02,20.52
219,34,2019-10-17 19:46:31,0.0,118.0,6.0,183.86697897121192,3.0,0,台中,0,1,1271.61,65.02,20.52
220,34,2019-10-17 19:46:41,0.0,128.0,16.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
221,34,2019-10-17 19:46:43,0.0,130.0,18.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
222,34,2019-10-17 19:46:52,0.0,139.0,27.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
223,34,2019-10-17 19:46:58,0.0,145.0,33.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
224,34,2019-10-17 19:47:13,0.0,160.0,48.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
225,34,2019-10-17 19:47:57,0.0,204.0,92.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
226,34,2019-10-17 19:48:06,0.0,213.0,101.0,183.86697897121192,3.0,0,台中,0,1,1271.61,65.02,20.52
227,34,2019-10-17 19:49:01,0.0,268.0,156.0,183.86697897121192,3.0,0,台中,0,1,1271.61,65.02,20.52
228,34,2019-10-17 19:52:22,0.0,469.0,357.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
229,34,2019-10-17 19:54:08,0.0,575.0,463.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
230,34,2019-10-17 19:54:26,0.0,593.0,481.0,148.654304424729,3.0,0,臺北,0,1,9662.94,56.01,16.41
235,35,2019-10-19 09:30:05,1.0,54.0,0.0,13.472000593824333,3.0,0,斗六,0,0,526.38,59.73,17.22
238,36,2019-10-28 07:28:41,1.0,38.0,0.0,33.46466000126115,4.0,1,宜蘭,0,1,211.78,39.63,12.3
239,36,2019-10-28 07:28:46,0.0,43.0,5.0,72.18830489767716,4.0,0,臺北,0,1,9662.94,56.01,16.41
241,37,2019-11-03 03:27:11,1.0,37.0,0.0,41.3327152386581,3.0,1,宜蘭,0,0,211.78,39.63,12.3
242,37,2019-11-03 03:27:30,0.0,56.0,19.0,79.89237813458786,3.0,0,臺北,0,0,9662.94,56.01,16.41
243,37,2019-11-03 03:27:42,0.0,68.0,31.0,79.89237813458786,3.0,0,臺北,0,0,9662.94,56.01,16.41
244,37,2019-11-03 03:28:09,0.0,95.0,58.0,79.89237813458786,3.0,0,臺北,0,0,9662.94,56.01,16.41
248,38,2019-11-04 11:32:55,1.0,38.0,0.0,113.10182882694676,4.0,0,臺北,0,0,9662.94,56.01,16.41
251,39,2019-11-12 02:12:31,1.0,58.0,0.0,43.326778601692034,2.0,0,臺北,0,0,9662.94,56.01,16.41
256,40,2019-11-18 02:57:46,1.0,50.0,0.0,110.9278159705677,2.0,0,台中,0,0,1271.61,65.02,20.52
257,40,2019-11-18 02:57:47,0.0,51.0,1.0,59.452783147637305,2.0,0,臺北,0,0,9662.94,56.01,16.41
258,40,2019-11-18 02:57:53,0.0,57.0,7.0,59.452783147637305,2.0,0,臺北,0,0,9662.94,56.01,16.41
259,40,2019-11-18 02:59:14,0.0,138.0,88.0,59.452783147637305,2.0,0,臺北,0,0,9662.94,56.01,16.41
261,41,2019-11-23 18:57:24,1.0,52.0,0.0,41.6704983891479,2.0,0,高雄,0,1,939.35,53.25,15.73
266,42,2019-11-25 09:33:39,1.0,57.0,0.0,114.12411105458804,3.0,0,臺北,0,0,9662.94,56.01,16.41
269,43,2019-12-02 01:35:49,1.0,69.0,0.0,84.30613491318374,2.0,0,臺北,1,0,9662.94,56.01,16.41
271,44,2019-12-05 14:47:23,1.0,53.0,0.0,206.02776074111952,2.0,0,苗栗,1,0,299.04,69.03,16.37
272,44,2019-12-05 14:47:29,0.0,59.0,6.0,34.930712975832684,2.0,0,台南,1,0,857.0,62.18,15.17
273,44,2019-12-05 14:47:39,0.0,69.0,16.0,15.938472825211727,2.0,1,高雄,1,0,939.35,53.25,15.73
277,45,2019-12-07 03:33:53,1.0,80.0,0.0,127.7712060833748,3.0,0,臺北,0,0,9662.94,56.01,16.41
279,46,2019-12-11 21:24:17,1.0,19.0,0.0,14.305225234158302,3.0,1,宜蘭,0,0,211.78,39.63,12.3
281,47,2019-12-11 22:02:52,1.0,47.0,0.0,157.45318670639836,4.0,0,彰化,1,0,1182.02,62.6,17.19
282,47,2019-12-11 22:03:07,0.0,62.0,15.0,45.96548013455341,4.0,0,臺北,1,0,9662.94,56.01,16.41
283,47,2019-12-11 22:05:51,1.0,226.0,0.0,45.96548013455341,4.0,0,臺北,1,0,9662.94,56.01,16.41
284,47,2019-12-11 22:05:51,1.0,226.0,0.0,,4.0,0,NaN,1,0,,,
289,48,2020-01-01 03:10:51,1.0,41.0,0.0,107.38835245965929,4.0,0,臺北,0,0,9662.94,56.01,16.41
290,48,2020-01-01 03:11:16,0.0,66.0,25.0,107.38835245965929,4.0,0,臺北,0,0,9662.94,56.01,16.41
294,49,2020-01-06 14:54:21,1.0,26.0,0.0,43.05250409674221,4.0,0,台南,1,0,857.0,62.18,15.17
295,49,2020-01-06 14:54:31,0.0,36.0,10.0,38.12127391627953,4.0,0,台中,1,0,1271.61,65.02,20.52
296,49,2020-01-06 14:55:23,0.0,88.0,62.0,84.32655937484938,4.0,0,高雄,1,0,939.35,53.25,15.73
298,50,2020-01-11 23:19:54,1.0,23.0,0.0,8.256221230077944,3.0,1,宜蘭,1,0,211.78,39.63,12.3
300,51,2020-01-15 20:42:14,1.0,26.0,0.0,17.494207155513365,3.0,0,臺北,0,0,9662.94,56.01,16.41
301,51,2020-01-15 20:42:25,0.0,37.0,11.0,17.494207155513365,3.0,0,臺北,0,0,9662.94,56.01,16.41
302,51,2020-01-15 20:42:25,0.0,37.0,11.0,,3.0,0,NaN,0,0,,,
303,51,2020-01-15 20:42:50,0.0,62.0,36.0,17.494207155513365,3.0,0,臺北,0,0,9662.94,56.01,16.41
313,52,2020-01-28 00:13:02,1.0,31.0,0.0,32.1473724587254,2.0,0,高雄,1,0,939.35,53.25,15.73
314,52,2020-01-28 00:13:38,0.0,67.0,36.0,279.06892124348064,2.0,0,臺北,1,0,9662.94,56.01,16.41
315,52,2020-01-28 00:14:20,0.0,109.0,78.0,32.1473724587254,2.0,0,高雄,1,0,939.35,53.25,15.73
316,52,2020-01-28 00:14:20,0.0,109.0,78.0,,2.0,0,NaN,1,0,,,
319,53,2020-01-31 14:10:11,1.0,33.0,0.0,58.02904431403342,2.0,0,臺北,1,0,9662.94,56.01,16.41
323,54,2020-01-31 16:25:47,1.0,67.0,0.0,56.17833447157447,2.0,0,臺北,1,0,9662.94,56.01,16.41
325,55,2020-02-02 23:49:04,1.0,54.0,0.0,44.23234816285553,2.0,0,臺北,1,0,9662.94,56.01,16.41
326,55,2020-02-02 23:56:44,0.0,514.0,460.0,44.23234816285553,2.0,0,臺北,1,0,9662.94,56.01,16.41
333,56,2020-02-03 08:20:22,1.0,25.0,0.0,11.570911113650647,2.0,1,臺北,0,0,9662.94,56.01,16.41
339,57,2020-02-04 01:03:28,1.0,32.0,0.0,45.962328313522185,4.0,1,花蓮,1,0,70.32,43.1,13.12
340,57,2020-02-04 01:09:58,0.0,422.0,390.0,161.6145796517141,4.0,0,高雄,1,0,939.35,53.25,15.73
341,57,2020-02-04 01:12:10,0.0,554.0,522.0,20171.285525276,4.0,0,"Ashburn, Virginia, U.S.A.",1,0,,,
346,58,2020-02-07 03:32:46,1.0,73.0,0.0,268.76762662939825,2.0,0,臺北,0,0,9662.94,56.01,16.41
347,58,2020-02-07 03:33:25,0.0,112.0,39.0,268.76762662939825,2.0,0,臺北,0,0,9662.94,56.01,16.41
358,59,2020-02-07 19:58:20,1.0,41.0,0.0,99.7307503431115,3.0,0,臺北,0,1,9662.94,56.01,16.41
359,59,2020-02-07 19:58:42,0.0,63.0,22.0,99.7307503431115,3.0,0,臺北,0,1,9662.94,56.01,16.41
365,60,2020-02-08 00:02:09,1.0,44.0,0.0,110.10472734628634,3.0,0,彰化,1,0,1182.02,62.6,17.19
398,61,2020-02-13 15:44:57,1.0,51.0,0.0,37.4578116819457,3.0,0,高雄,1,0,939.35,53.25,15.73
412,62,2020-02-14 01:49:52,1.0,33.0,0.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
413,62,2020-02-14 01:49:52,1.0,33.0,0.0,,2.0,0,NaN,1,0,,,
414,62,2020-02-14 01:50:04,0.0,45.0,12.0,63.34697616303448,2.0,1,宜蘭,1,0,211.78,39.63,12.3
415,62,2020-02-14 01:50:11,0.0,52.0,19.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
416,62,2020-02-14 01:50:11,0.0,52.0,19.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
417,62,2020-02-14 01:50:20,0.0,61.0,28.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
418,62,2020-02-14 01:50:20,0.0,61.0,28.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
419,62,2020-02-14 01:50:20,0.0,61.0,28.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
420,62,2020-02-14 01:50:21,0.0,62.0,29.0,129.2345437605597,2.0,0,新竹,1,0,4318.72,51.53,15.0
421,62,2020-02-14 01:50:22,0.0,63.0,30.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
422,62,2020-02-14 01:50:34,0.0,75.0,42.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
423,62,2020-02-14 01:50:40,0.0,81.0,48.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
424,62,2020-02-14 01:50:42,0.0,83.0,50.0,111.68435926305948,2.0,0,桃園,1,0,1848.28,48.78,13.94
425,62,2020-02-14 01:50:46,0.0,87.0,54.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
426,62,2020-02-14 01:51:15,0.0,116.0,83.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
427,62,2020-02-14 01:51:17,0.0,118.0,85.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
428,62,2020-02-14 01:51:19,0.0,120.0,87.0,129.2345437605597,2.0,0,新竹,1,0,4318.72,51.53,15.0
429,62,2020-02-14 01:51:21,0.0,122.0,89.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
430,62,2020-02-14 01:51:40,0.0,141.0,108.0,115.67236186747552,2.0,0,中壢,1,0,1848.28,48.78,13.94
431,62,2020-02-14 01:54:04,0.0,285.0,252.0,161.1883214876316,2.0,0,彰化,1,0,1182.02,62.6,17.19
432,62,2020-02-14 01:54:09,0.0,290.0,257.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
433,62,2020-02-14 01:54:54,0.0,335.0,302.0,111.68435926305948,2.0,0,桃園,1,0,1848.28,48.78,13.94
434,62,2020-02-14 01:55:50,0.0,391.0,358.0,102.3677632069788,2.0,0,臺北,1,0,9662.94,56.01,16.41
435,62,2020-02-14 01:56:26,0.0,427.0,394.0,145.8865113572883,2.0,0,台中,1,0,1271.61,65.02,20.52
441,63,2020-02-15 19:00:36,1.0,30.0,0.0,130.6988893755412,4.0,0,臺北,0,1,9662.94,56.01,16.41
442,63,2020-02-15 19:00:38,0.0,32.0,2.0,130.6988893755412,4.0,0,臺北,0,1,9662.94,56.01,16.41
443,63,2020-02-15 19:00:59,1.0,53.0,0.0,89.19956488683182,4.0,0,台中,0,1,1271.61,65.02,20.52
444,63,2020-02-15 19:01:03,0.0,57.0,4.0,130.6988893755412,4.0,0,臺北,0,1,9662.94,56.01,16.41
445,63,2020-02-15 19:01:03,0.0,57.0,4.0,16.831140900128695,4.0,1,花蓮,0,1,70.32,43.1,13.12
446,63,2020-02-15 19:01:16,0.0,70.0,17.0,130.6988893755412,4.0,0,臺北,0,1,9662.94,56.01,16.41
447,63,2020-02-15 19:01:20,0.0,74.0,21.0,89.19956488683182,4.0,0,台中,0,1,1271.61,65.02,20.52
448,63,2020-02-15 19:01:22,0.0,76.0,23.0,182.61154431196383,4.0,0,高雄,0,1,939.35,53.25,15.73
449,63,2020-02-15 19:01:22,0.0,76.0,23.0,125.69489155888581,4.0,0,桃園,0,1,1848.28,48.78,13.94
